순서,나라,면적(km^2)
1,러시아,"17,125,407"
2,캐나다,"9,984,670"
3,미국,"9,833,517"
4,중국,"9,640,821"
5,브라질,"8,515,770"
6,호주,"7,741,220"
7,인도,"3,287,263"
8,아르헨티나,"2,780,400"
9,카자흐스탄,"2,724,900"
10,알제리,"2,381,741"
11,콩고민주공화국,"2,344,858"
12,사우디아라비아,"2,149,690"
13,멕시코,"1,964,375"
14,인도네시아,"1,904,569"
15,수단,"1,861,484"
16,리비아,"1,759,540"
17,이란,"1,648,195"
18,몽골,"1,564,116"
19,페루,"1,285,216"
20,차드,"1,284,000"
21,니제르,"1,267,000"
22,앙골라,"1,246,700"
23,말리,"1,240,192"
24,남아프리카 공화국,"1,219,090"
25,콜롬비아,"1,138,914"
26,에티오피아,"1,104,300"
27,볼리비아,"1,098,581"
28,모리타니,"1,030,700"
29,이집트,"1,010,408"
30,탄자니아,"947,303"
31,나이지리아,"923,768"
32,베네수엘라,"912,050"
33,나미비아,"824,292"
34,모잠비크,"801,590"
35,파키스탄,"796,095"
36,터키,"783,356"
37,칠레,"756,096"
38,잠비아,"752,618"
39,미얀마,"676,578"
40,아프가니스탄,"652,230"
41,남수단,"644,329"
42,프랑스,"640,679"
43,소말리아,"637,657"
44,중앙아프리카공화국,"622,984"
45,우크라이나,"603,628"
46,마다가스카르,"587,041"
47,보츠와나,"581,730"
48,케냐,"580,367"
49,예멘,"527,968"
50,태국,"513,120"
51,스페인,"505,990"
52,투르크메니스탄,"491,210"
53,카메룬,"475,440"
54,파푸아뉴기니,"462,840"
55,스웨덴,"450,295"
56,우즈베키스탄,"447,400"
57,모로코,"446,550"
58,이라크,"438,317"
59,파라과이,"406,752"
60,짐바브웨,"390,757"
61,일본,"377,975"
62,독일,"357,022"
63,콩고 공화국,"342,000"
64,핀란드,"338,145"
65,베트남,"331,210"
66,말레이시아,"329,847"
67,노르웨이,"323,802"
68,코트디부아르,"322,463"
69,폴란드,"312,685"
70,오만,"309,500"
71,이탈리아,"301,340"
72,필리핀,"300,000"
73,에콰도르,"283,561"
74,부르키나파소,"274,200"
75,뉴질랜드,"268,838"
76,가봉,"267,667"
77,기니,"245,857"
78,영국,"243,610"
79,우간다,"241,038"
80,가나,"238,533"
81,루마니아,"238,391"
82,라오스,"237,955"
83,가이아나,"214,969"
84,벨라루스,"207,600"
85,키르기스스탄,"199,951"
86,세네갈,"196,722"
87,시리아,"185,180"
88,캄보디아,"181,035"
89,우루과이,"176,215"
90,수리남,"163,820"
91,튀니지,"163,610"
92,네팔,"147,516"
93,방글라데시,"143,998"
94,타지키스탄,"143,100"
95,그리스,"131,957"
96,니카라과,"130,370"
97,북한,"120,540"
98,말라위,"118,484"
99,에리트레아,"117,600"
100,베냉,"112,622"
101,온두라스,"112,492"
102,라이베리아,"111,369"
103,불가리아,"110,993"
104,쿠바,"109,884"
105,과테말라,"108,889"
106,아이슬란드,"102,775"
107,대한민국,"100,412"
