시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,돌샘유치원,서울특별시 강남구 개포로 516,,37.48914032,127.0708698,서울특별시 강남구청,수서경찰서,Y,1,12.6,2021-06-28
유치원,신양유치원,서울특별시 강남구 선릉로10길 18-6,,37.483431,127.061678,서울특별시 강남구청,수서경찰서,Y,2,6,2021-06-28
유치원,이화유치원,서울특별시 강남구 개포로109길 9,,37.495751,127.075096,서울특별시 강남구청,수서경찰서,Y,2,15,2021-06-28
유치원,영동제일유치원,서울특별시 강남구 삼성로120길 28,,37.517579,127.053437,서울특별시 강남구청,강남경찰서,Y,2,5.8,2021-06-28
유치원,소망유치원,서울특별시 강남구 광평로56길 11,,37.48797908,127.1056314,서울특별시 강남구청,수서경찰서,Y,1,11,2021-06-28
유치원,묘동유치원,서울특별시 강남구 도곡로78길 8,,37.49740739,127.058723,서울특별시 강남구청,수서경찰서,Y,5,5.5,2021-06-28
유치원,푸른유치원,서울특별시 강남구 일원로14길 25,,37.48479809,127.0811005,서울특별시 강남구청,수서경찰서,Y,1,15.2,2021-06-28
유치원,성요셉유치원,서울특별시 강남구 도산대로83길 27,,37.52627314,127.0482112,서울특별시 강남구청,강남경찰서,Y,2,5.9,2021-06-28
유치원,강남유치원,서울특별시 강남구 선릉로129길 31,,37.515448,127.039009,서울특별시 강남구청,강남경찰서,Y,2,8.6,2021-06-28
유치원,반디유치원,서울특별시 강남구 광평로47길 17,,37.48790982,127.0981867,서울특별시 강남구청,수서경찰서,Y,2,9.6,2021-06-28
유치원,초원유치원,서울특별시 강남구 논현로14길 17,,37.475915,127.048578,서울특별시 강남구청,수서경찰서,Y,2,9.4,2021-06-28
유치원,성결유치원,서울특별시 강남구 언주로121길 5,,37.511421,127.035354,서울특별시 강남구청,강남경찰서,Y,4,6,2021-06-28
유치원,도곡렉슬유치원,서울특별시 강남구 선릉로 217,,37.49432124,127.0535103,서울특별시 강남구청,수서경찰서,Y,2,25,2021-06-28
유치원,역삼초등학교병설유치원,서울특별시 강남구 강남대로66길 21,,37.49316115,127.032603,서울특별시 강남구청,수서경찰서,Y,1,11.8,2021-06-28
유치원,개포초등학교유치원,서울특별시 강남구 영동대로3길 45,,37.48680544,127.0699766,서울특별시 강남구청,수서경찰서,Y,1,15,2021-06-28
유치원,대현초등학교병설유치원,서울특별시 강남구 역삼로98길 16,,37.50372276,127.063564,서울특별시 강남구청,수서경찰서,Y,1,5.5,2021-06-28
유치원,수서초등학교병설유치원,서울특별시 강남구 광평로51길 46,,37.49115058,127.101549,서울특별시 강남구청,수서경찰서,Y,1,6.5,2021-06-28
유치원,유정유치원,서울특별시 강남구 광평로34길 17,,37.48300739,127.0949421,서울특별시 강남구청,수서경찰서,Y,46,20,2021-06-28
유치원,아란유치원,서울특별시 강남구 압구정로 201,,37.53153399,127.0292754,서울특별시 강남구청,강남경찰서,Y,1,6,2021-06-28
유치원,은곡유치원,서울특별시 강남구 헌릉로569길 41,,37.46682003,127.096934,서울특별시 강남구청,수서경찰서,Y,1,20,2021-06-28
유치원,청담몬테소리유치원,서울특별시 강남구 학동로67길 15,,37.519322,127.046511,서울특별시 강남구청,강남경찰서,Y,1,6,2021-06-28
초등학교,대곡초등학교,서울특별시 강남구 남부순환로 3022,,37.49471191,127.0650265,서울특별시 강남구청,수서경찰서,Y,2,40,2021-06-28
초등학교,대왕초등학교,서울특별시 강남구 헌릉로 618길 8,,37.46462136,127.1055895,서울특별시 강남구청,수서경찰서,Y,2,6.1,2021-06-28
초등학교,대현초등학교,서울특별시 강남구 역삼로98길 16,,37.50372276,127.063564,서울특별시 강남구청,수서경찰서,Y,4,5.5,2021-06-28
초등학교,도곡초등학교,서울특별시 강남구 선릉로64길 33,,37.4995106,127.0544636,서울특별시 강남구청,수서경찰서,Y,5,5.3,2021-06-28
초등학교,도성초등학교,서울특별시 강남구 역삼로 313,,37.50146282,127.0488738,서울특별시 강남구청,수서경찰서,Y,2,23.1,2021-06-28
초등학교,봉은초등학교,서울특별시 강남구 학동로 610,,37.52008278,127.060981,서울특별시 강남구청,강남경찰서,Y,3,6,2021-06-28
초등학교,삼릉초등학교,서울특별시 강남구 봉은사로63길 22,,37.51325956,127.046914,서울특별시 강남구청,강남경찰서,Y,4,5.4,2021-06-28
초등학교,청담초등학교,서울특별시 강남구 압구정로71길 9,,37.52828178,127.0451534,서울특별시 강남구청,강남경찰서,Y,6,5.9,2021-06-28
초등학교,포이초등학교,서울특별시 강남구 개포로22길 87,,37.47591562,127.0525106,서울특별시 강남구청,수서경찰서,Y,3,14.5,2021-06-28
초등학교,논현초등학교,서울특별시 강남구 강남대로120길 33,,37.50849066,127.0262217,서울특별시 강남구청,강남경찰서,Y,8,6,2021-06-28
초등학교,신구초등학교,서울특별시 강남구 압구정로18길 28,,37.5233613,127.0239915,서울특별시 강남구청,강남경찰서,Y,8,5.5,2021-06-28
초등학교,언북초등학교,서울특별시 강남구 삼성로135길 42,,37.52012607,127.0447141,서울특별시 강남구청,강남경찰서,Y,8,6,2021-06-28
초등학교,영희초등학교,서울특별시 강남구 일원로 21,,37.49230166,127.0811312,서울특별시 강남구청,수서경찰서,Y,6,9.8,2021-06-28
초등학교,일원초등학교,서울특별시 강남구 영동대로4길 20,,37.48978925,127.0763251,서울특별시 강남구청,수서경찰서,Y,3,7.6,2021-06-28
초등학교,학동초등학교,서울특별시 강남구 선릉로115길 42,,37.51226034,127.0395969,서울특별시 강남구청,강남경찰서,Y,7,5.7,2021-06-28
초등학교,개원초등학교,서울특별시 강남구 선릉로 29,,37.48161815,127.0587379,서울특별시 강남구청,수서경찰서,Y,2,12,2021-06-28
초등학교,개일초등학교,서울특별시 강남구 개포로 401,,37.48621378,127.057776,서울특별시 강남구청,수서경찰서,Y,2,20,2021-06-28
초등학교,구룡초등학교,서울특별시 강남구 개포로 263,,37.48119613,127.051773,서울특별시 강남구청,수서경찰서,Y,3,14,2021-06-28
초등학교,대도초등학교,서울특별시 강남구 선릉로 209,,37.49264543,127.0533776,서울특별시 강남구청,수서경찰서,Y,2,28.7,2021-06-28
초등학교,대모초등학교,서울특별시 강남구 광평로20길 27,,37.48059953,127.0859937,서울특별시 강남구청,수서경찰서,Y,2,14.5,2021-06-28
초등학교,대진초등학교,서울특별시 강남구 개포로109길 74,,37.497027,127.0780785,서울특별시 강남구청,수서경찰서,Y,3,9,2021-06-28
초등학교,수서초등학교,서울특별시 강남구 광평로51길 46,,37.49115058,127.101549,서울특별시 강남구청,수서경찰서,Y,5,6.5,2021-06-28
